"Designator","Mid X","Mid Y","Layer","Rotation"
"R48","72.39","73.66","Bottom","0"
"R49","21.59","78.74","Bottom","180"
"R50","6.35","78.74","Bottom","180"
"R51","59.69","88.90","Bottom","180"
"R52","59.69","73.66","Bottom","0"
"R53","21.59","86.36","Bottom","0"
"R54","6.35","86.36","Bottom","180"
"R55","45.72","66.04","Bottom","0"
"R56","45.72","63.50","Bottom","0"
"R57","33.02","63.50","Bottom","180"
"R58","33.02","60.96","Bottom","180"
"R59","45.72","50.80","Bottom","0"
"R60","45.72","48.26","Bottom","0"
"R61","33.02","48.26","Bottom","180"
"R62","33.02","45.72","Bottom","180"
"R63","29.21","15.24","Bottom","0"
"R64","35.56","15.24","Bottom","0"
"R65","45.72","60.96","Bottom","0"
"R66","33.02","58.42","Bottom","0"
"R67","45.72","45.72","Bottom","0"
"R68","33.02","43.18","Bottom","0"
"R69","39.37","26.67","Bottom","180"
"R70","39.37","24.13","Bottom","180"
"R71","52.07","26.67","Bottom","0"
"R72","52.07","24.13","Bottom","0"
"R73","39.37","21.59","Bottom","180"
"R74","52.07","21.59","Bottom","0"
"R75","29.21","5.08","Bottom","0"
"R76","33.02","5.08","Bottom","0"
"R77","72.39","66.04","Bottom","0"
"R78","72.39","63.50","Bottom","0"
"R79","59.69","66.04","Bottom","180"
"R80","59.69","63.50","Bottom","180"
"R81","72.39","50.80","Bottom","0"
"R82","72.39","48.26","Bottom","0"
"R83","59.69","50.80","Bottom","180"
"R84","59.69","48.26","Bottom","180"
"R85","72.39","60.96","Bottom","180"
"R86","72.39","45.72","Bottom","180"
"R87","59.69","60.96","Bottom","0"
"R88","59.69","45.72","Bottom","0"
"R89","72.39","58.42","Bottom","0"
"R90","72.39","43.18","Bottom","0"
"R91","59.69","58.42","Bottom","0"
"R92","59.69","43.18","Bottom","0"
"R93","11.43","26.67","Bottom","270"
"R94","2.54","64.77","Bottom","180"
"R95","2.54","67.31","Bottom","180"
"R96","21.59","73.66","Bottom","0"
"R97","6.35","71.12","Bottom","0"
"R98","21.59","63.50","Bottom","180"
"R99","21.59","53.34","Bottom","0"
"R100","21.59","60.96","Bottom","180"
"R101","21.59","50.80","Bottom","0"
"R102","6.35","63.50","Bottom","0"
"R103","6.35","53.34","Bottom","0"
"R104","6.35","60.96","Bottom","180"
"R105","6.35","50.80","Bottom","180"
"R106","52.07","3.81","Bottom","0"
"R107","45.72","3.81","Bottom","0"
"R108","39.37","3.81","Bottom","0"
"U1","39.37","92.71","Bottom","270"
"U2","39.37","77.47","Bottom","270"
"U3","45.72","12.70","Bottom","90"
"U4","33.02","21.59","Bottom","0"
"U5","53.34","91.44","Bottom","270"
"U6","53.34","76.20","Bottom","270"
"U7","39.37","62.23","Bottom","270"
"U8","39.37","46.99","Bottom","270"
"U9","33.02","10.16","Bottom","0"
"U10","45.72","24.13","Bottom","90"
"U11","53.34","60.96","Bottom","270"
"U12","53.34","45.72","Bottom","270"
"U13","19.05","19.05","Bottom","315"
"U14","52.07","6.35","Bottom","270"
"U15","45.72","6.35","Bottom","90"
"U16","39.37","6.35","Bottom","90"
