"Designator","Mid X","Mid Y","Layer","Rotation"
"R20","41.91","76.20","Bottom",0
"R21","34.29","93.98","Bottom",180
"R22","31.75","75.56","Bottom",0
"R23","45.09","99.06","Bottom",0
"R24","45.09","96.52","Bottom",180
"R25","34.29","97.79","Bottom",180
"R26","41.91","78.74","Bottom",0
"R27","41.91","74.93","Bottom",180
"R28","31.75","78.11","Bottom",180
"R29","22.23","13.97","Bottom",270
"R30","6.35","9.53","Bottom",90
"R31","24.77","13.97","Bottom",270
"R32","5.08","9.53","Bottom",90
"R33","3.81","46.36","Bottom",180
"R34","3.81","47.63","Bottom",180
"R35","13.97","46.99","Bottom",0
"R36","13.97","48.26","Bottom",0
"R37","3.81","24.77","Bottom",180
"R38","3.81","26.04","Bottom",180
"R39","13.97","25.40","Bottom",0
"R40","13.97","26.67","Bottom",0
"R41","3.81","45.09","Bottom",180
"R42","13.97","45.72","Bottom",0
"R43","3.81","23.50","Bottom",180
"R44","13.97","24.13","Bottom",0
"R45","41.91","55.88","Bottom",0
"R46","31.75","55.25","Bottom",180
"R47","31.75","53.98","Bottom",180
"R48","40.64","34.29","Bottom",0
"R49","30.48","33.66","Bottom",180
"R50","30.48","31.12","Bottom",180
"R51","41.91","53.34","Bottom",0
"R52","40.64","33.02","Bottom",0
"R53","41.91","54.61","Bottom",0
"R54","31.75","52.71","Bottom",180
"R55","40.64","31.75","Bottom",0
"R56","30.48","32.38","Bottom",180
"R57","41.91","57.15","Bottom",0
"R58","40.64","35.56","Bottom",0
"R59","31.75","56.52","Bottom",180
"R60","30.48","34.93","Bottom",180
"R61","23.50","13.97","Bottom",270
"R62","26.04","13.97","Bottom",270
"R63","3.81","9.53","Bottom",90
"R64","2.54","9.53","Bottom",90
"R65","22.23","90.17","Bottom",270
"R66","20.96","90.17","Bottom",270
"R67","22.23","68.58","Bottom",270
"R68","20.96","68.58","Bottom",270
"R69","22.23","46.99","Bottom",270
"R70","20.96","46.99","Bottom",270
"R71","22.23","25.40","Bottom",270
"R72","20.96","25.40","Bottom",270
"R73","19.69","90.17","Bottom",90
"R74","19.69","68.58","Bottom",90
"R75","19.69","46.99","Bottom",90
"R76","19.69","25.40","Bottom",90
"R77","1.27","82.55","Bottom",90
"R78","1.27","60.96","Bottom",90
"R79","1.27","39.37","Bottom",90
"R80","1.27","17.78","Bottom",90
"R81","2.54","82.55","Bottom",270
"R82","2.54","60.96","Bottom",270
"R83","2.54","39.37","Bottom",270
"R84","2.54","17.78","Bottom",270
"R85","58.42","31.12","Bottom",180
"R86","27.30","13.97","Bottom",270
"R87","7.62","9.53","Bottom",90
"R88","17.78","13.34","Bottom",180
"R89","7.62","12.07","Bottom",180
"R90","20.32","6.35","Bottom",180
"U1","60.96","96.52","Bottom",270
"U2","60.96","76.20","Bottom",270
"U3","8.89","90.17","Bottom",90
"U4","8.89","68.58","Bottom",90
"U5","50.16","86.36","Bottom",270
"U6","50.16","72.39","Bottom",270
"U7","39.37","96.52","Bottom",270
"U8","36.83","76.20","Bottom",270
"U9","62.23","54.61","Bottom",270
"U10","64.77","33.02","Bottom",270
"U11","8.89","46.99","Bottom",90
"U12","8.89","25.40","Bottom",90
"U13","50.16","45.09","Bottom",270
"U14","50.16","13.97","Bottom",270
"U15","36.83","54.61","Bottom",270
"U16","35.56","33.02","Bottom",270
"U17","20.32","85.09","Bottom",0
"U18","20.32","63.50","Bottom",0
"U19","20.32","41.91","Bottom",0
"U20","20.32","20.32","Bottom",0
"U21","50.16","33.02","Bottom",180
"U22","12.70","12.70","Bottom",270
"X1","50.16","24.13","Bottom",0
